component_id,function,layer_order,candidate_material_family,skin_contact,circular_design_intent,draft_target_mass_g,target_status,mass_per_unit_g,supplier,supplier_evidence_ref,treatment_route,treatment_evidence_ref,status,notes
BD-TS-001,topsheet,1,hydrophilic polypropylene nonwoven,true,minimize additives and prefer a clearly declared mono-family polyolefin structure,2.00,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Fragrance-free and lotion-free baseline; exact grade to be selected after skin-contact review
BD-ADL-001,acquisition_distribution_layer,2,polyolefin nonwoven or cellulose-based ADL,false,reduce material diversity while meeting acquisition/rewet targets,1.50,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Final chemistry depends on prototype performance and treatment compatibility
BD-CW-001,core_wrap_upper,3,cellulose tissue or declared nonwoven,false,stabilize core with the lowest practical mass,0.80,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Material family intentionally not locked in v0.3
BD-CORE-001,absorbent_core,4,fluff pulp + superabsorbent polymer,false,record pulp and SAP as separate mass fractions and seek recoverable output evidence,21.00,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Draft combined core target only; pulp/SAP split must be measured and documented before qualification
BD-CW-002,core_wrap_lower,5,cellulose tissue or declared nonwoven,false,stabilize core and preserve treatment traceability,0.80,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Can be consolidated with upper wrap if manufacturing evidence supports it
BD-BF-001,barrier_film,6,breathable polyethylene film,false,prefer a declared polyolefin film and minimize pigments/fillers where feasible,3.00,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Barrier performance must be tested
BD-BNW-001,backsheet_nonwoven,7,polypropylene nonwoven,false,keep outer shell within a simplified polyolefin family where feasible,2.20,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Optional if comfort and mechanical targets can be achieved without it
BD-LEG-001,leg_elastic,8,elastane/polyurethane elastic,false,quantify separately and minimize mass because elastics complicate recovery,0.80,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Exact elastic chemistry to be declared
BD-WAIST-001,waist_elastic,9,elastane/polyurethane elastic,false,quantify separately and minimize mixed-material complexity,0.40,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Optional architecture element
BD-TAB-001,fastening_tabs,10,polyolefin carrier + hook system,false,prefer separable or polyolefin-dominant fastening architecture,0.90,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Fastening integrity must be validated
BD-FLZ-001,frontal_landing_zone,11,polyolefin loop or film,false,avoid unnecessary laminates and print layers,0.60,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,May be integrated with backsheet in later revisions
BD-ADH-001,construction_adhesive,12,hot-melt adhesive,false,minimize grams per unit and document chemistry class,1.00,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Adhesive compatibility with selected treatment route must be checked
BD-PKG-001,primary_packaging,13,polyethylene or polypropylene flexible packaging,false,prefer mono-material packaging with clearly identified collection route,1.00,DESIGN_TARGET_NOT_VALIDATED,,,,NOT_VERIFIED,,DESIGN_CANDIDATE,Allocated packaging target per diaper; measured package mass and contained unit count must replace estimates in evidence records
